"url","page_type","category","source_file","http_status_evidence","redirect_target","title","canonical_evidence","robots_evidence","in_sitemap","user_intent","unique_value","content_source_link_status","function_test_result","duplicate_group","decision","priority","evidence_level","task_status","revalidation","traffic_index_backlink"
"https://spinkorea.kr/","static_page","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","온라인 룰렛 돌리기 | 무료 원판돌리기·스핀 추첨","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","SpinFlow는 결정이 필요한 순간에 룰렛, 추첨, 계산, 변환 도구를 바로 제공하는 무료 유틸리티 사이트입니다.","","PRIOR_SESSION_VERIFIED (2026-08-30 mobile/desktop, see PROJECT_STATE.md); not re-tested this session","CONFIRMED","","KEEP","P2","CONFIRMED","DONE (this session)","2026-09-12","UNKNOWN"
"https://spinkorea.kr/spinflow","static_page","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","SpinFlow 룰렛 | 원판돌리기 바로가기","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","항목을 직접 입력하거나 템플릿을 선택해 공정한 룰렛 결과를 만들 수 있습니다.","","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/spinflow-standalone","static_page","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","(site-pages.json에 항목 없음 — SEO 컴포넌트 인라인 title 사용 추정, NOT_VERIFIED)","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","N (intentionally excluded, standalone embed variant)","","","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/lunch-menu","static_page","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","점심 메뉴 추천 룰렛 | 오늘 뭐 먹지 해결","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","직장인과 모임을 위한 점심 메뉴 선택 도구입니다.","","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/random-number","static_page","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","랜덤 숫자 뽑기 | 공정한 숫자 추첨기","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","추첨, 게임, 수업, 이벤트에 쓸 숫자를 공정하게 생성합니다.","","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools","tool_hub","core","src/pages/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","무료 유틸리티 모음 51종 | SpinFlow — 계산기·변환·랜덤 도구","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","랜덤 추첨, 텍스트, 개발, 디자인, 계산 도구를 한 곳에서 사용할 수 있습니다.","","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/lotto-generator","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","로또 번호 생성기 | 무료 랜덤 번호 추첨","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","버튼 한 번으로 로또 번호 조합을 생성합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/dice-roller","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","주사위 던지기 | 온라인 랜덤 주사위","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","공정한 난수로 주사위 결과를 생성합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/coin-flip","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","동전 던지기 | 앞면 뒷면 랜덤 선택","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","간단한 양자택일을 빠르게 해결합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/yes-no-oracle","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","Yes or No 결정 도구 | 예 아니오 랜덤 선택","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","가벼운 선택을 빠르게 위임할 수 있습니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/random-team","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","랜덤 팀 편성기 | 조 편성·팀 나누기","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","수업, 모임, 게임에서 팀을 자동으로 나눕니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/random-password","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","비밀번호 생성기 | 안전한 랜덤 암호 만들기","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","브라우저에서 안전한 비밀번호를 즉시 생성합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/text-counter","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","글자수 세기 | 공백 포함·제외 문자수 계산","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","텍스트 길이와 단어 수를 즉시 확인합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/case-converter","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","대소문자 변환기 | 영문 케이스 변환","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","개발과 문서 작업에 필요한 케이스 변환을 지원합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/lorem-ipsum","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","로렘 입숨 생성기 | 더미 텍스트 만들기","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","문단 수를 선택해 더미 텍스트를 만듭니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/json-formatter","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","JSON 포맷터 | JSON 정렬·압축·검사","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","복잡한 JSON을 읽기 쉽게 정리합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
"https://spinkorea.kr/tools/uri-encoder","tool","tools","src/pages/tools/*.tsx via src/App.tsx","NOT_VERIFIED (no live HTTP GET against production this session; dev server only)","","URL 인코더 | URI 인코딩·디코딩","NOT_VERIFIED individually this session (SEO.tsx가 자기 URL을 canonical로 설정하는 공통 컴포넌트 사용, 코드상 확인)","NOT_VERIFIED individually (robots.txt는 전체 허용, 페이지별 meta robots 미점검)","Y","링크와 쿼리 문자열을 변환합니다.","ToolLayout 공통 구조 사용 확인(코드 리뷰), 개별 실행 미검증","NOT_VERIFIED_THIS_SESSION (구조만 확인, 브라우저 실행 검증 없음)","NOT_VERIFIED","","KEEP","P2","NOT_VERIFIED","TODO","","UNKNOWN"
